Vehicle Class,Vehicle Category Group,Count,State,Vehicle Category
TOW TRUCK,TOTAL,1,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOW TRUCK,HMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOW TRUCK,LMV,1,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOW TRUCK,HGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOW TRUCK,MMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,HMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,LGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,LMV,5,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,OTH,4,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,HGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,MGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,TOTAL,9,Gujarat(37),SPECIAL CATEGORY VEHICLES
TOWER WAGON,MMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,MGV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,MMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LMV,0,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,OTH,1,Gujarat(37),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,TOTAL,1,Gujarat(37),SPECIAL CATEGORY VEHICLES
CAMPER VAN / TRAILER (PRIVATE USE),LMV,14,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),MGV,0,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),TOTAL,15,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),HMV,0,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),MMV,1,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),HGV,0,Gujarat(37),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),LGV,0,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),MGV,0,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),MMV,0,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),HGV,1,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),HMV,0,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),TOTAL,1,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),LMV,0,Gujarat(37),TRAILER
SEMI-TRAILER (COMMERCIAL),LGV,0,Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),MGV,0,Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),TOTAL,"2,139",Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),HGV,0,Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),LGV,0,Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),LMV,"1,707",Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),MMV,1,Gujarat(37),TRAILER
TRAILER (AGRICULTURAL),HMV,431,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),LGV,15,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),LMV,0,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),HGV,86,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),TOTAL,109,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),HMV,0,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),MGV,8,Gujarat(37),TRAILER
TRAILER (COMMERCIAL),MMV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,MGV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,HGV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,LMV,1,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,MMV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,LGV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,HMV,0,Gujarat(37),TRAILER
TRAILER FOR PERSONAL USE,TOTAL,1,Gujarat(37),TRAILER
AGRICULTURAL TRACTOR,LMV,"39,439",Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,MMV,16,Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,LGV,0,Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,MGV,0,Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,HGV,0,Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,OTH,0,Gujarat(37),TRACTOR
AGRICULTURAL TRACTOR,TOTAL,"39,455",Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),LMV,0,Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),MMV,0,Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),LGV,"5,166",Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),MGV,0,Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),HGV,0,Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),OTH,0,Gujarat(37),TRACTOR
TRACTOR (COMMERCIAL),TOTAL,"5,166",Gujarat(37),TRACTOR
M-CYCLE/SCOOTER,2WIC,0,Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER,2WN,"31,833",Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER,2WT,0,Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER,TOTAL,"31,833",Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0,Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,11,Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0,Himachal Pradesh(113),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,TOTAL,11,Himachal Pradesh(113),TWO WHEELER
MOPED,2WIC,0,Himachal Pradesh(113),TWO WHEELER
MOPED,TOTAL,122,Himachal Pradesh(113),TWO WHEELER
MOPED,2WN,122,Himachal Pradesh(113),TWO WHEELER
MOPED,2WT,0,Himachal Pradesh(113),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0,Himachal Pradesh(113),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0,Himachal Pradesh(113),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,TOTAL,644,Himachal Pradesh(113),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,644,Himachal Pradesh(113),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WN,8,Himachal Pradesh(113),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WIC,0,Himachal Pradesh(113),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WT,0,Himachal Pradesh(113),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),TOTAL,8,Himachal Pradesh(113),TWO WHEELER
E-RICKSHAW WITH CART (G),3WN,0,Himachal Pradesh(113),THREE WHEELER
E-RICKSHAW WITH CART (G),3WT,4,Himachal Pradesh(113),THREE WHEELER
E-RICKSHAW WITH CART (G),TOTAL,4,Himachal Pradesh(113),THREE WHEELER
E-RICKSHAW(P),3WN,0,Himachal Pradesh(113),THREE WHEELER
E-RICKSHAW(P),3WT,6,Himachal Pradesh(113),THREE WHEELER
E-RICKSHAW(P),TOTAL,6,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (GOODS),3WN,0,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (GOODS),3WT,44,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (GOODS),TOTAL,44,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (PASSENGER),3WN,0,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (PASSENGER),3WT,274,Himachal Pradesh(113),THREE WHEELER
THREE WHEELER (PASSENGER),TOTAL,274,Himachal Pradesh(113),THREE WHEELER
ADAPTED VEHICLE,4WIC,5,Himachal Pradesh(113),FOUR WHEELER
ADAPTED VEHICLE,LMV,0,Himachal Pradesh(113),FOUR WHEELER
ADAPTED VEHICLE,MMV,0,Himachal Pradesh(113),FOUR WHEELER
ADAPTED VEHICLE,HMV,0,Himachal Pradesh(113),FOUR WHEELER
ADAPTED VEHICLE,TOTAL,5,Himachal Pradesh(113),FOUR WHEELER
MOTOR CAR,4WIC,0,Himachal Pradesh(113),FOUR WHEELER
MOTOR CAR,LMV,"22,871",Himachal Pradesh(113),FOUR WHEELER
MOTOR CAR,MMV,0,Himachal Pradesh(113),FOUR WHEELER
MOTOR CAR,HMV,0,Himachal Pradesh(113),FOUR WHEELER
MOTOR CAR,TOTAL,"22,871",Himachal Pradesh(113),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0,Himachal Pradesh(113),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,7,Himachal Pradesh(113),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,0,Himachal Pradesh(113),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,0,Himachal Pradesh(113),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,7,Himachal Pradesh(113),FOUR WHEELER
AMBULANCE,2WT,0,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,LPV,84,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,MPV,0,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,HPV,0,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,LGV,2,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,MGV,0,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,HGV,0,Himachal Pradesh(113),AMBULANCE/HEARSES
AMBULANCE,TOTAL,86,Himachal Pradesh(113),AMBULANCE/HEARSES
CONSTRUCTION EQUIPMENT VEHICLE,LMV,4,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HMV,8,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,TOTAL,244,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,LGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,OTH,227,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MMV,5,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,TOTAL,19,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,HMV,1,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,HGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,OTH,8,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,LGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,LMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,MMV,10,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EARTH MOVING EQUIPMENT,MGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),HGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),OTH,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),MMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),LMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),LGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),HMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),MGV,1,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),TOTAL,1,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),OTH,116,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),LGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),MGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),HMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),MMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),LMV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),HGV,0,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),TOTAL,116,Himachal Pradesh(113),CONSTRUCTION EQUIPMENT VEHICLE
GOODS CARRIER,LGV,"3,620",Himachal Pradesh(113),GOODS VEHICLES
GOODS CARRIER,MGV,503,Himachal Pradesh(113),GOODS VEHICLES
GOODS CARRIER,HGV,"1,776",Himachal Pradesh(113),GOODS VEHICLES
GOODS CARRIER,TOTAL,"5,899",Himachal Pradesh(113),GOODS VEHICLES
BUS,LPV,73,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
BUS,MPV,79,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
BUS,HPV,36,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
BUS,TOTAL,188,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,LPV,94,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,MPV,24,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,HPV,1,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,TOTAL,119,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
OMNI BUS,LPV,140,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
OMNI BUS,MPV,4,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
OMNI BUS,HPV,0,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
OMNI BUS,TOTAL,144,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,LPV,7,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,MPV,1,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,HPV,0,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,TOTAL,8,Himachal Pradesh(113),PUBLIC SERVICE VEHICLE
CRANE MOUNTED VEHICLE,LMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,HMV,6,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,TOTAL,26,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,MMV,18,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,HGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,OTH,2,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,MMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,HGV,1,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,TOTAL,1,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,OTH,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,HMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,LMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,OTH,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,HGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,LMV,5,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,HMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,TOTAL,5,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
FORK LIFT,MMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,OTH,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,LMV,8,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,HGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,TOTAL,13,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,MMV,5,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,HMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
RECOVERY VEHICLE,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,MMV,2,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HMV,1,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,TOTAL,6,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LMV,1,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,OTH,2,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,OTH,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,LGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,MGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,HMV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,MMV,4,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,LMV,1,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,HGV,0,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH RIG,TOTAL,5,Himachal Pradesh(113),SPECIAL CATEGORY VEHICLES
CAMPER VAN / TRAILER (PRIVATE USE),LMV,4,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),HMV,0,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),MMV,0,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),LGV,0,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),MGV,0,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),HGV,0,Himachal Pradesh(113),TRAILER
CAMPER VAN / TRAILER (PRIVATE USE),TOTAL,4,Himachal Pradesh(113),TRAILER
AGRICULTURAL TRACTOR,LMV,"1,025",Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,MMV,1,Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,LGV,0,Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,MGV,0,Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,HGV,0,Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,OTH,0,Himachal Pradesh(113),TRACTOR
AGRICULTURAL TRACTOR,TOTAL,"1,026",Himachal Pradesh(113),TRACTOR
M-CYCLE/SCOOTER,2WIC,0,Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER,2WN,"2,36,101",Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER,2WT,0,Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER,TOTAL,"2,36,101",Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0,Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,62,Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0,Haryana(178),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,TOTAL,62,Haryana(178),TWO WHEELER
MOPED,2WIC,0,Haryana(178),TWO WHEELER
MOPED,TOTAL,533,Haryana(178),TWO WHEELER
MOPED,2WN,533,Haryana(178),TWO WHEELER
MOPED,2WT,0,Haryana(178),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0,Haryana(178),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0,Haryana(178),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,TOTAL,97,Haryana(178),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,97,Haryana(178),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WN,376,Haryana(178),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WIC,0,Haryana(178),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WT,0,Haryana(178),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),TOTAL,376,Haryana(178),TWO WHEELER
E-RICKSHAW WITH CART (G),3WN,0,Haryana(178),THREE WHEELER
E-RICKSHAW WITH CART (G),3WT,"1,630",Haryana(178),THREE WHEELER
E-RICKSHAW WITH CART (G),TOTAL,"1,630",Haryana(178),THREE WHEELER
E-RICKSHAW(P),3WN,0,Haryana(178),THREE WHEELER
E-RICKSHAW(P),3WT,"7,064",Haryana(178),THREE WHEELER
E-RICKSHAW(P),TOTAL,"7,064",Haryana(178),THREE WHEELER
THREE WHEELER (GOODS),3WN,0,Haryana(178),THREE WHEELER
THREE WHEELER (GOODS),3WT,"2,263",Haryana(178),THREE WHEELER
THREE WHEELER (GOODS),TOTAL,"2,263",Haryana(178),THREE WHEELER
THREE WHEELER (PASSENGER),3WN,0,Haryana(178),THREE WHEELER
THREE WHEELER (PASSENGER),3WT,"7,731",Haryana(178),THREE WHEELER
THREE WHEELER (PASSENGER),TOTAL,"7,731",Haryana(178),THREE WHEELER
ADAPTED VEHICLE,4WIC,108,Haryana(178),FOUR WHEELER
ADAPTED VEHICLE,TOTAL,108,Haryana(178),FOUR WHEELER
ADAPTED VEHICLE,LMV,0,Haryana(178),FOUR WHEELER
ADAPTED VEHICLE,HMV,0,Haryana(178),FOUR WHEELER
ADAPTED VEHICLE,MMV,0,Haryana(178),FOUR WHEELER
MOTOR CAR,TOTAL,"1,32,106",Haryana(178),FOUR WHEELER
MOTOR CAR,HMV,0,Haryana(178),FOUR WHEELER
MOTOR CAR,MMV,0,Haryana(178),FOUR WHEELER
MOTOR CAR,LMV,"1,32,106",Haryana(178),FOUR WHEELER
MOTOR CAR,4WIC,0,Haryana(178),FOUR WHEELER
OMNI BUS (PRIVATE USE),LMV,3,Haryana(178),FOUR WHEELER
OMNI BUS (PRIVATE USE),TOTAL,3,Haryana(178),FOUR WHEELER
OMNI BUS (PRIVATE USE),MMV,0,Haryana(178),FOUR WHEELER
OMNI BUS (PRIVATE USE),HMV,0,Haryana(178),FOUR WHEELER
OMNI BUS (PRIVATE USE),4WIC,0,Haryana(178),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,0,Haryana(178),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0,Haryana(178),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,0,Haryana(178),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,8,Haryana(178),FOUR WHEELER
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,8,Haryana(178),FOUR WHEELER
AMBULANCE,2WT,0,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,HGV,0,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,TOTAL,213,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,LPV,195,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,LGV,18,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,MPV,0,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,MGV,0,Haryana(178),AMBULANCE/HEARSES
AMBULANCE,HPV,0,Haryana(178),AMBULANCE/HEARSES
ANIMAL AMBULANCE,LGV,9,Haryana(178),AMBULANCE/HEARSES
ANIMAL AMBULANCE,TOTAL,10,Haryana(178),AMBULANCE/HEARSES
ANIMAL AMBULANCE,HGV,0,Haryana(178),AMBULANCE/HEARSES
ANIMAL AMBULANCE,MPV,0,Haryana(178),AMBULANCE/HEARSES
ANIMAL AMBULANCE,LPV,0,Haryana(178),AMBULANCE/HEARSES
